ID,Timestamp,Με τι είδος development ασχολείσαι επαγγελματικά αυτή την περίοδο;,Με ποιες γλώσσες προγραμματισμού δουλεύεις επαγγελματικά αυτή την περίοδο;,Πόσα χρόνια δουλεύεις επαγγελματικά ως προγραμματιστής;,Έχεις προσωπικά projects ή κάνεις freelancing πέρα από την κύρια εργασία σου;,Φύλλο;,Ποιος είναι ο τρόπος εργασίας;,Σε ποια πόλη μένεις;,Σε ποια πόλη δουλεύεις;,Τι μέγεθος είναι η εταιρεία που δουλεύεις;,Έχεις άτομα υπό την επίβλεψη σου;,Ποιό είναι το επίπεδο σπουδών σου;,"Ποιος είναι ο τίτλος του πτυχίου σου; (Αν έχεις παραπάνω από ένα, συμπλήρωσε τα)",Ποιος είναι ο ΕΤΗΣΙΟΣ ΚΑΘΑΡΟΣ μισθός σου σε €;,[Fixed] Ποιος είναι ο ΕΤΗΣΙΟΣ ΚΑΘΑΡΟΣ μισθός σου σε €;,[GROUP] Πόσα χρόνια δουλεύεις επαγγελματικά ως προγραμματιστής;,"[GROUP] Σε ποια πόλη δουλεύεις, Greece ή Abroad","[GROUP] Σε ποια πόλη δουλεύεις, Αττική ή Υπόλοιπη Ελλάδα",[NORMALIZED] Με ποιες γλώσσες προγραμματισμού δουλεύεις επαγγελματικά αυτή την περίοδο;,[GROUP] Το πτυχίο σου είναι σχετικό με τον τομέα της πληροφορική;,[NORMALIZED] Με τι είδος development ασχολείσαι επαγγελματικά αυτή την περίοδο;
1,2/14/2024 12:11:57,"Backend, Frontend","C#, JavaScript",6,Όχι,Άντρας,Απομακρυσμένα,Θεσσαλονίκη,Αθήνα,201 - 500,Όχι,Master,Εφαρμοσμένη Πληροφορική,25200,25200,6,Ελλάδα,Αττική,"C#, JavaScript",Ναι,"Backend, Frontend"
2,2/14/2024 12:41:42,"Backend, Frontend","JavaScript, Bash",2,Ναι,Άντρας,Απομακρυσμένα,Kω,Θεσσαλονίκη,11 - 50,Όχι,Bachelor's,Computer Science,14000,14000,2,Ελλάδα,Υπόλοιπη Ελλάδα,"JavaScript, Bash",Ναι,"Backend, Frontend"
3,2/14/2024 12:46:32,Data engineer,"Java, Python, Scala",7,Όχι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,501+,Όχι,Master,Computer Science,35000,35000,7,Ελλάδα,Αττική,"Java, Python, Scala",Ναι,Data Scientist / Data Engineer
4,2/14/2024 13:23:59,Frontend,JavaScript,2,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,51 - 100,Όχι,Bachelor's,Μηχανηκός πληροφορικής και υπολογιστών,20740,20740,2,Ελλάδα,Αττική,JavaScript,Ναι,Frontend
5,2/14/2024 15:03:38,Backend,Java,3,Ναι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,101 - 200,Όχι,Bachelor's,"Φυσικό Πάτρας, Java Bootcamp",21000,21000,3,Ελλάδα,Αττική,Java,Όχι,Backend
6,2/14/2024 15:06:12,Backend,"Java, JavaScript, Typescript",5,Ναι,Άντρας,Και τα δύο,Dublin,Dublin,501+,Όχι,Bachelor's,Computer Science BSc,77500,77500,5,Εξωτερικό,-,"Java, JavaScript, TypeScript",Ναι,Backend
7,2/14/2024 15:29:43,"Backend, Frontend, DevOps","JavaScript, PHP",20,Όχι,Άντρας,Στον χώρο του εργοδότη,Αθήνα,Αθήνα,11 - 50,Όχι,Bachelor's,ΦΥΣΙΚΗ,25200,25200,10+,Ελλάδα,Αττική,"JavaScript, PHP",Όχι,"Backend, Frontend, SRE / DevOps"
8,2/14/2024 17:20:34,Backend,Java,4,Όχι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,201 - 500,Ναι,Bachelor's,Μηχανικός Πληροφορικής Τ.Ε.,1337,18718,4,Ελλάδα,Αττική,Java,Ναι,Backend
9,2/14/2024 17:45:07,"Backend, Frontend",Java,5,Όχι,Γυναίκα,Απομακρυσμένα,Αθήνα,Αθήνα,201 - 500,Όχι,Bachelor's,Πληροφορική Οικονομικού Πανεπιστημίου Αθηνών,23800,23800,5,Ελλάδα,Αττική,Java,Όχι,"Backend, Frontend"
10,2/14/2024 18:53:33,"Backend, Frontend, Mobile apps","Python, JavaScript",2,Ναι,Άντρας,Απομακρυσμένα,Θάσος,Θεσσαλονίκη,11 - 50,Όχι,Bachelor's,Μηχανικός Η/Υ και πληροφορικής,20000,20000,2,Ελλάδα,Υπόλοιπη Ελλάδα,"Python, JavaScript",Ναι,"Backend, Frontend, Mobile Apps"
